sample global_ancestry
R3 0.0461647752096214
R17 0.291600113242762
R19 0.0819419735696985
R18 0.0667415793171182
R16 0.287158655207245
R10 0.0537658461226587
R2 0.0544727396010639
R9 0.0499072038474578
MDV248 0.133340731394459
ROS45 0.319257211362024
ROS78 0.306099730524167
Sch72-15 0.0991966404647147
Schw432 0.122155387244811
NEO137 0.13531811080315
NEO140 0.373535970305231
NEO145 0.345469939988326
NEO147 0.112355868876066
NEO695 0.113034801178564
NEO674 0.354525865835288
R8 0.0612218684356771
kol6 0.333261391557822
NEO655 0.133772382047527
PL_N36 0.321776338553918
NE5 0.29022914183656
PL_N31 0.319480026982535
NE1 0.291852637612675
Stuttgart 0.0856590623918689
NE6 0.0725898340154695
PL_N25 0.304094389939569
PL_N26 0.28362680917546
PL_N19 0.299084970518435
Pal7 0.0853427515894181
PL_N28 0.285624285679334
Rev5 0.0812193519298454
Klei10 0.0625176941816288
NE2 0.377810535072052
PL_N27 0.303669729580477
NE7 0.300114291306521
NEO119 0.477277175641622
NEO886 0.47201086291684
NEO925 0.428092593434017
NEO653 0.410326761291946
TV3831 0.375215388433161
COV20126 0.436479198632698
NEO896 0.497756115633443
NEO43 0.518073405077051
NEO39 0.453310952742118
TV32032extra 0.379706652313263
NEO744 0.456566682161818
MonteGato104 0.386827140515394
NEO830 0.44899619378493
NEO757 0.519194473473582
atp9 0.402660156372876
QUIN234 0.449081824886146
ROS102 0.400978116884706
NEO640 0.412192295997008
NEO609 0.464951539787006
NEO599 0.466704356001692
NEO597 0.480338924403466
NEO595 0.42027132826071
ans016 0.426645602580817
NEO945 0.469202512311655
NEO25 0.495392522482533
ans005 0.470512318645561
NEO721 0.423728902418991
NEO943 0.460315227306884
NEO942 0.486675625893447
NEO753 0.439696481435527
esp005 0.421162590742754
pir001 0.456096584891878
por004 0.464282219138726
san216 0.452355030040788
ans003 0.497256309614101
ValeOuro10207 0.41829657021226
NEO121 0.393595492658444
NEO28 0.386160441227356
NEO36 0.416542880210827
NEO29 0.406314332549255
NEO23 0.350918000356505
WET370 0.370751211942218
NEO866 0.402935399198213
NEO891 0.370404318603619
ans017 0.41644851124214
CO1 0.349323339543045
RISE489 0.367819657405692
NEO641 0.393081706051148
NEO630 0.393797337397024
NEO627 0.356304895652387
NEO626 0.406705789011957
NEO624 0.330882070245464
NEO717 0.372515387384616
NEO935 0.412894820541678
NEO933 0.421402882098207
Aveline_1 0.345469939988326
NEO142 0.356013050878855
BurnGround 0.353932564634006
CaveHa3_1 0.437661432101527
Coldrum_1 0.352792272929038
Embo_1 0.43901405398604
Fussels_Lodge_1 0.358423828514108
Jubilee_cave 0.421969969697076
Kelco_cave 0.422830649642971
Ballynahatty 0.354650817340123
PL_N18 0.350187514635928
PSS4693 0.309884974712612
PL_N38 0.374151989961938
Carsington_pasture_1 0.352870913736277
PL_N20 0.349401980350284
Mor6 0.334353624991699
ros3 0.400643456560566
RISE1161 0.389091995763882
RISE1165 0.36887257043595
RISE1166 0.377671602979263
RISE1249 0.371901115301404
RISE1248 0.396465008335926
RISE1246 0.391728210379887
RISE1252 0.426353757807285
RISE1250 0.405733264362433
RISE1254 0.408137925490456
Gok2 0.442072307600896
NEO847 0.384403256078934
ros005 0.411590256928255
R1014 0.318291677006477
R104 0.350104504894953
RISE1159 0.384984324265757
RISE1170 0.373099950718427
RISE1168 0.356941886191024
mur 0.354530234769023
lai001 0.4042207395032
mid001 0.424363271597387
mid002 0.434930848516834
prs002 0.34473333776052
prs003 0.415317831191391
prs006 0.415645501221554
prs009 0.366289656811517
NEO823 0.354164118121988
prs010 0.441617938492403
prs013 0.360414314724006
prs016 0.329025273407873
ans008 0.476883097818679
CB13 0.267980783681858
atp016 0.362558587401393
atp12-1420 0.389706267847094
c40331 0.409836566926822
prs012 0.390516268161658
LugarCanto44 0.363715481054556
RISE1241 0.402170835794499
R22 0.327615855384798
BERG157-2 0.34915295112736
BERG157-7 0.347036639625879
CabecoArruda117B 0.40440772986708
BLP10 0.36482955915711
BUCH2 0.312933616673249
NEO812 0.352853438001335
CRE20D 0.345702367263055
LugarCanto42 0.351133825683039
LU339 0.36446781144381
LD270 0.369431793954095
LD1174 0.368945968522706
CabecoArruda122A 0.369456259983014
CovaMoura364 0.376964709500858
Es97-1 0.387816267113113
NEO790 0.370302085554208
CovaMoura9B 0.361141305297594
R6 0.336063625655777
bal004 0.363727714069015
R24 0.317659929188322
R25 0.332757216604744
R26 0.315122452474739
R27 0.296139435393955
R29 0.297921086571296
R28 0.32631303934487
R4 0.288312927500166
R5 0.295731376983059
LugarCanto41 0.39292442443667
BERG02-2 0.344749065921967
