Individual ID	Age average
GTE-A-1	1,015
GRS-A-1	1,015
HSJ-A-1	1,015
SBT-A-1	1,015
DAV-A-8	1,000
DAV-A-9	950
STT-A-2	1,000
VDP-A-5	1,000
VDP-A-6	1,000
VDP-A-7	1,000
MKR-A-1	1,015
YGS-B-2	1,015
TGS-A-1	990
KNS-A-1	950
VK127	900
VK128	900
VK129	900
TSK-A-26	825
VK101	750
VK102	750
VK110	750
VK111	750
VK122	750
VK123	750
VK225	750
VK227	750
VK230	750
VK95	750
VK98	750
VK99	750
FOV-A-1	636
KOV-A-2	236
VK186	903
VK1	850
VK6	850
VK187	849
VK513	800
VK179	800
VK183	800
VK184	800
VK75	654
VK190	588
NEO254	10,465
NEO13	9,511
NEO91	9,134
NEO759	9,040
NEO587	7,398
NEO123	8,178
NEO122	8,156
NEO19	8,172
NEO600	7,815
NEO683	7,521
NEO932	7,398
NEO589	7,475
NEO791	7,033
NEO814	7,115
NEO748	7,129
NEO749	7,072
NEO746	6,986
NEO745	6,801
NEO747	6,728
NEO586	7,030
NEO583	6,980
NEO822	6,973
NEO733	6,819
NEO732	6,812
NEO930	6,892
NEO855	6,299
NEO570	6,372
NEO568	6,297
NEO569	6,145
NEO856	6,778
NEO1	6,594
NEO852	6,306
NEO751	6,315
NEO941	6,374
NEO598	6,068
NEO853	6,045
NEO3	6,092
NEO960	5,963
NEO645	5,836
NEO962	5,786
syltholm	5,760
NEO601	5,807
NEO891	5,714
NEO790	5,668
NEO29	5,559
NEO595	5,545
NEO23	5,536
NEO571	5,535
NEO564	5,535
NEO753	5,533
NEO7	5,240
NEO41	5,531
NEO942	5,495
NEO28	5,461
NEO886	5,458
NEO866	5,457
NEO865	5,184
NEO757	5,452
NEO945	5,444
NEO896	5,444
NEO933	5,438
NEO43	5,392
NEO888	5,389
NEO795	5,330
NEO744	5,363
NEO702	5,271
NEO935	5,248
NEO597	5,214
NEO594	5,181
NEO961	5,149
NEO599	5,141
NEO602	5,139
NEO33	5,139
NEO566	5,135
NEO898	5,081
NEO25	5,066
NEO925	4,947
RISE61	4,622
NEO878	4,038
NEO943	4,617
NEO580	4,612
NEO792	4,496
NEO876	4,385
NEO870	4,255
NEO872	4,016
NEO875	3,986
NEO92	4,218
NEO737	4,111
NEO738	4,111
NEO739	3,971
NEO861	4,111
NEO860	3,667
Gjerrild5	4,110
RISE71	4,060
NEO735	3,995
NEO934	3,834
VK214	3,782
NEO93	3,738
NEO857	3,668
NEO752	3,649
NEO815	3,474
NEO563	3,355
RISE47	3,362
NEO951	3,306
NEO590	3,297
NEO946	3,145
VK582	1,900
VK521	1,650
VK213	1,491
VK532	950
VK65	1,200
VK69	1,200
VK70	1,200
VK71	1,200
VK312	1,075
VK313	1,075
VK314	1,075
VK329	1,163
VK325	1,091
VK328	1,079
VK326	958
VK327	945
VK324	938
VK323	900
VK322	866
VK330	861
VK301	1,185
VK319	1,150
VK294	1,075
VK315	1,075
VK369	1,075
VK300	1,075
