sample global_ancestry
R3 0.23427183855217
R17 0.275931369293736
R19 0.259095246250581
R18 0.249573592067414
R16 0.266831754109419
R10 0.23331941099783
R2 0.243588152849768
R9 0.229287758946703
MDV248 0.243567181967838
ROS45 0.278202341049453
ROS78 0.272658164139093
Sch72-15 0.253239127471506
Schw432 0.241439511238645
NEO137 0.229260671557542
NEO140 0.259070780221662
NEO145 0.258031847779358
NEO147 0.237034752246506
NEO695 0.237270674668223
NEO674 0.260618256550779
R8 0.239331063817889
kol6 0.249763203791535
NEO655 0.222964164257928
PL_N36 0.291765258937965
NE5 0.253109807032935
PL_N31 0.286815257015634
NE1 0.261728839506345
Stuttgart 0.233215430374924
NE6 0.236131256750003
PL_N25 0.277433408712003
PL_N26 0.256445051046622
PL_N19 0.267051948369689
Pal7 0.229479992031065
PL_N28 0.270002726214651
Rev5 0.22407911614723
Klei10 0.216859016255929
NE2 0.271317775269039
PL_N27 0.279727972709892
NE7 0.26713583189741
NEO119 0.321719542415356
NEO886 0.363734704362992
NEO925 0.341337802461283
NEO653 0.332992265239715
TV3831 0.322801290408268
COV20126 0.328520224668048
NEO896 0.335145275784573
NEO43 0.346505377283642
NEO39 0.330190904928507
TV32032extra 0.327971486590869
NEO744 0.316108957712217
MonteGato104 0.32545672833271
NEO830 0.294511570684105
NEO757 0.351755088060228
atp9 0.327786243800483
QUIN234 0.340878190632307
ROS102 0.31031050885845
NEO640 0.30780536225451
NEO609 0.310981577080224
NEO599 0.349054213224937
NEO597 0.351665088025277
NEO595 0.325565951676098
ans016 0.341443530657682
NEO945 0.380469468143483
NEO25 0.380745584755567
ans005 0.327206049400408
NEO721 0.321895173551524
NEO943 0.360620528396322
NEO942 0.377626166068414
NEO753 0.316939055121963
esp005 0.337496635921024
pir001 0.322732261255247
por004 0.32502857282663
san216 0.324905368895289
ans003 0.345478677855797
ValeOuro10207 0.328549059630703
NEO121 0.31543876327719
NEO28 0.314959054353031
NEO36 0.330495856503245
NEO29 0.331889546364872
NEO23 0.301298272348844
WET370 0.301372544222347
NEO866 0.341435666576958
NEO891 0.319239735627082
ans017 0.34777498942718
CO1 0.291609724896981
RISE489 0.285966810084198
NEO641 0.303816525753991
NEO630 0.306224682029003
NEO627 0.305559730314458
NEO626 0.298204193477357
NEO624 0.310876722670572
NEO717 0.320871095483921
NEO935 0.331595954017846
NEO933 0.33223381834323
Aveline_1 0.320518085638091
NEO142 0.294818269832338
BurnGround 0.302944486580383
CaveHa3_1 0.312450412602102
Coldrum_1 0.314602549360213
Embo_1 0.318744298541475
Fussels_Lodge_1 0.315013229131351
Jubilee_cave 0.312609441790074
Kelco_cave 0.326971874552184
Ballynahatty 0.310724683776576
PL_N18 0.31016895540542
PSS4693 0.295516425443272
PL_N38 0.32410323266145
Carsington_pasture_1 0.302755748643009
PL_N20 0.314146432678226
Mor6 0.289189335607509
ros3 0.31672585115567
RISE1161 0.329264690976579
RISE1165 0.328653040253608
RISE1166 0.336998577475176
RISE1249 0.32873692378133
RISE1248 0.341068676143175
RISE1246 0.309958372799368
RISE1252 0.328343719745134
RISE1250 0.318324007116119
RISE1254 0.313507694566095
Gok2 0.323378863448102
NEO847 0.31849876446554
ros005 0.335155761225538
R1014 0.294305357011789
R104 0.285667101229942
RISE1159 0.320089930132012
RISE1170 0.324885271800106
RISE1168 0.326082359643635
mur 0.270794377007525
lai001 0.316203326680904
mid001 0.30767866317618
mid002 0.325808864391792
prs002 0.310725557563323
prs003 0.318200803184778
prs006 0.325447990465239
prs009 0.301380408303071
NEO823 0.273984572421193
prs010 0.324985757276022
prs013 0.304486720189018
prs016 0.298388562480995
ans008 0.34172751135049
CB13 0.26874884223256
atp016 0.309731188245122
atp12-1420 0.334432265798938
c40331 0.305934584828965
prs012 0.318366822666727
LugarCanto44 0.321266920880358
RISE1241 0.315188860267519
R22 0.289690015413598
BERG157-2 0.302229729021254
BERG157-7 0.293070696338135
CabecoArruda117B 0.329600225087466
BLP10 0.287574577698865
BUCH2 0.292013414374142
NEO812 0.3019745832911
CRE20D 0.289254869613542
LugarCanto42 0.315917598414601
LU339 0.316203326680904
LD270 0.317830317604007
LD1174 0.329085564693423
CabecoArruda122A 0.32148624135388
CovaMoura364 0.3223696397552
Es97-1 0.331772458940761
NEO790 0.314197112309558
CovaMoura9B 0.314946821338571
R6 0.305378856457808
bal004 0.303793807298566
R24 0.280766905152196
R25 0.291020792629434
R26 0.285104382564809
R27 0.283116517715153
R29 0.275435058421382
R28 0.300468174939097
R4 0.27060913421714
R5 0.279578555176138
LugarCanto41 0.331629157914236
BERG02-2 0.298897980154555
