sample global_ancestry
R3 0.0878819758764955
R17 0.151318019929328
R19 0.122446358231595
R18 0.102741593297706
R16 0.140857044993027
R10 0.0907707148624135
R2 0.0879833351391593
R9 0.0803709049984097
MDV248 0.108264799326136
ROS45 0.165062685461237
ROS78 0.168505405244818
Sch72-15 0.121273736416985
Schw432 0.104592273628067
NEO137 0.063000898252776
NEO140 0.124711213480083
NEO145 0.128477234360091
NEO147 0.0994902328117409
NEO695 0.100288873898592
NEO674 0.124511116314997
R8 0.10347295280503
kol6 0.113841306346138
NEO655 0.0587569160221033
PL_N36 0.201087165470744
NE5 0.1274645155202
PL_N31 0.190651530350109
NE1 0.144099667611521
Stuttgart 0.0875883835294693
NE6 0.0935502305049439
PL_N25 0.166812006528935
PL_N26 0.145362289461083
PL_N19 0.16381666555987
Pal7 0.0514092432657255
PL_N28 0.145995784852732
Rev5 0.0705346875862864
Klei10 0.0615460433188518
NE2 0.153589865471792
PL_N27 0.178795991765434
NE7 0.142839667122201
NEO119 0.216992705628235
NEO886 0.309639440636676
NEO925 0.274163698704349
NEO653 0.260891751802622
TV3831 0.23261076994593
COV20126 0.250851068291677
NEO896 0.269678551331476
NEO43 0.28125098301009
NEO39 0.270281464186976
TV32032extra 0.268121463348141
NEO744 0.227871350629651
MonteGato104 0.254319127890923
NEO830 0.177722107853246
NEO757 0.266668355987711
atp9 0.252606505866604
QUIN234 0.261118936356868
ROS102 0.215938918811231
NEO640 0.222737853490429
NEO609 0.240685433275896
NEO599 0.291095938289685
NEO597 0.308919440357064
NEO595 0.241904365788103
ans016 0.281170594629357
NEO945 0.349796931959974
NEO25 0.363992471453387
ans005 0.245427473952417
NEO721 0.242708249595437
NEO943 0.311438567548958
NEO942 0.337849645766853
NEO753 0.240821744008444
esp005 0.256466021928552
pir001 0.252132913449675
por004 0.230880672186669
san216 0.250320679736186
ans003 0.274961466004453
ValeOuro10207 0.254880098982563
NEO121 0.224362223053291
NEO28 0.249145436561335
NEO36 0.273790591763337
NEO29 0.284650013456316
NEO23 0.214700762990588
WET370 0.206502021942533
NEO866 0.275730398341902
NEO891 0.237998539028559
ans017 0.273028649719864
CO1 0.18020803114875
RISE489 0.166972783290401
NEO641 0.211807655070934
NEO630 0.221397464620375
NEO627 0.22712688432112
NEO626 0.215055520409911
NEO624 0.221820377405972
NEO717 0.246573882164614
NEO935 0.250271747678349
NEO933 0.272388164034238
Aveline_1 0.228682224730961
NEO142 0.18617424705796
BurnGround 0.232554847594116
CaveHa3_1 0.237342325181486
Coldrum_1 0.243895725784748
Embo_1 0.229481739604559
Fussels_Lodge_1 0.258618158686664
Jubilee_cave 0.23146523552048
Kelco_cave 0.235620965289695
Ballynahatty 0.21308425750845
PL_N18 0.232717371929076
PSS4693 0.193264152723943
PL_N38 0.253465438239005
Carsington_pasture_1 0.212240179510749
PL_N20 0.242048540601375
Mor6 0.195636483742324
ros3 0.231000380971022
RISE1161 0.265406607924896
RISE1165 0.258276508068547
RISE1166 0.266974181349197
RISE1249 0.255613206063381
RISE1248 0.283718556783906
RISE1246 0.228185913858607
RISE1252 0.256113012082723
RISE1250 0.244943396094523
RISE1254 0.241754074467602
Gok2 0.22793775842243
NEO847 0.242883006944857
ros005 0.257435051431088
R1014 0.185606285672344
R104 0.166377734515625
RISE1159 0.244331745371552
RISE1170 0.250312815655462
RISE1168 0.258662721810766
mur 0.156773944378231
lai001 0.230392225395039
mid001 0.222603290331375
mid002 0.237679606865867
prs002 0.221661348217999
prs003 0.227987564267015
prs006 0.22504377671603
prs009 0.211549014193792
NEO823 0.15706666293851
prs010 0.24642446463086
prs013 0.216305035458266
prs016 0.199168329774109
ans008 0.246628056942935
CB13 0.160303169049774
atp016 0.200961340179161
atp12-1420 0.281059623712475
c40331 0.221552124874612
prs012 0.241453491826599
LugarCanto44 0.262424373757038
RISE1241 0.266386122868397
R22 0.197116678491914
BERG157-2 0.221019988745627
BERG157-7 0.187126674612301
CabecoArruda117B 0.258101750719126
BLP10 0.187528616515968
BUCH2 0.182985799217786
NEO812 0.193974541349336
CRE20D 0.202211729014264
LugarCanto42 0.218999793786328
LU339 0.242464463092995
LD270 0.234056887012383
LD1174 0.282976711835616
CabecoArruda122A 0.243259609032858
CovaMoura364 0.271671658901615
Es97-1 0.272735057372838
NEO790 0.23687659684528
CovaMoura9B 0.234523489135336
R6 0.233651449961728
bal004 0.21670173464145
R24 0.191596093823726
R25 0.197195319299153
R26 0.179737933878809
R27 0.174486475528728
R29 0.164449287164772
R28 0.21384095683144
R4 0.149791514482142
R5 0.166791035647004
LugarCanto41 0.288864286937587
BERG02-2 0.215979113001597
