sample global_ancestry
R3 0.0683030362341888
R17 0.230924361524024
R19 0.136764227869603
R18 0.0931378031603119
R16 0.213910859771208
R10 0.0598552659632101
R2 0.0766669229774458
R9 0.0171533076323525
MDV248 0.0856040138268015
ROS45 0.247701940855123
ROS78 0.261016703307458
Sch72-15 0.119860823246922
Schw432 0.0701799301669632
NEO137 0.0132282575643719
NEO140 0.054868564997501
NEO145 0.129977526204865
NEO147 0.0800711961441538
NEO695 0.0895771221658727
NEO674 0.102238292131376
R8 0.0211963189111918
kol6 0.138151801224
NEO655 0.00424660359091402
PL_N36 0.279614380432769
NE5 0.168238026500204
PL_N31 0.255975827563428
NE1 0.217150861029461
Stuttgart 0.0719213871539368
NE6 0.0790820695464348
PL_N25 0.230222710766101
PL_N26 0.172894436075509
PL_N19 0.199495999804272
Pal7 0.00301543806424779
PL_N28 0.211703674448029
Rev5 0.00727602224311543
Klei10 0.000869417813366141
NE2 0.221714649209573
PL_N27 0.274224863776646
NE7 0.14967442705803
NEO119 0.113296937202694
NEO886 0.434768324181874
NEO925 0.350772951756486
NEO653 0.0897649863164995
TV3831 0.114853151399282
COV20126 0.157971906008507
NEO896 0.29507079420225
NEO43 0.396539280209429
NEO39 0.372130047429145
TV32032extra 0.246519707386294
NEO744 0.244189318131774
MonteGato104 0.213520277095253
NEO830 0.0675507058449343
NEO757 0.222335037800015
atp9 0.238274655640643
QUIN234 0.173522688746675
ROS102 0.322720902027535
NEO640 0.291798462834355
NEO609 0.0818406143070347
NEO599 0.390402675884534
NEO597 0.402127146457144
NEO595 0.356575769543988
ans016 0.407183750362621
NEO945 0.418332395468891
NEO25 0.459679984341742
ans005 0.360374120533639
NEO721 0.201406097633436
NEO943 0.433538906228701
NEO942 0.397018989133588
NEO753 0.325025077679642
esp005 0.0985072227212515
pir001 0.0713743966502511
por004 0.121016843113337
san216 0.23597222756203
ans003 0.385123256358546
ValeOuro10207 0.137311218373289
NEO121 0.199422601717515
NEO28 0.34135964712996
NEO36 0.397958309886722
NEO29 0.381985488149704
NEO23 0.279555836720713
WET370 0.281770012337869
NEO866 0.404741516404472
NEO891 0.346875862864413
ans017 0.353671302396622
CO1 0.218881832575469
RISE489 0.195992114948394
NEO641 0.328387409082489
NEO630 0.303432059585266
NEO627 0.304587205664934
NEO626 0.20356347711203
NEO624 0.321479251059903
NEO717 0.364161112295578
NEO935 0.385479761351364
NEO933 0.371359367518201
Aveline_1 0.311568761774276
NEO142 0.267660103945671
BurnGround 0.337799839922268
CaveHa3_1 0.297636232091741
Coldrum_1 0.322603814603423
Embo_1 0.252139029956905
Fussels_Lodge_1 0.336594887998015
Jubilee_cave 0.351407320934882
Kelco_cave 0.356103050913806
Ballynahatty 0.312555267011754
PL_N18 0.350992272230009
PSS4693 0.289299432737644
PL_N38 0.368699560660024
Carsington_pasture_1 0.317371579561778
PL_N20 0.3216609987033
Mor6 0.271122920824435
ros3 0.307712740859317
RISE1161 0.35861606159847
RISE1165 0.360665091520424
RISE1166 0.405654623555194
RISE1249 0.350922369290241
RISE1248 0.417732103973633
RISE1246 0.353255379905002
RISE1252 0.370721503192817
RISE1250 0.356036643121026
RISE1254 0.347195668813852
Gok2 0.292865356452566
NEO847 0.320524202145321
ros005 0.369400337631199
R1014 0.246721552124875
R104 0.0362193344541105
RISE1159 0.382597138872675
RISE1170 0.385718305133322
RISE1168 0.36547790892346
mur 0.211601441398618
lai001 0.29373215290569
mid001 0.278460981926595
mid002 0.358083925469486
prs002 0.307297692154444
prs003 0.311165946083863
prs006 0.24318970609309
prs009 0.280110691305123
NEO823 0.0934680945507163
prs010 0.354933050459437
prs013 0.285235450576874
prs016 0.298872640338889
ans008 0.346042270307678
CB13 0.215552705069012
atp016 0.177824340902657
atp12-1420 0.361051305262643
c40331 0.129794030987973
prs012 0.325653330350808
LugarCanto44 0.353642467433968
RISE1241 0.3839314112355
R22 0.254966603870526
BERG157-2 0.294619920240746
BERG157-7 0.274577873622475
CabecoArruda117B 0.390611510917092
BLP10 0.291794093900619
BUCH2 0.274996417474337
NEO812 0.301205650953651
CRE20D 0.298259242042424
LugarCanto42 0.325849058582159
LU339 0.361699655028992
LD270 0.222868921502494
LD1174 0.29616215384938
CabecoArruda122A 0.344562075558088
CovaMoura364 0.360824120708396
Es97-1 0.361810625945874
NEO790 0.320227988438054
CovaMoura9B 0.301627689952501
R6 0.328466923676475
bal004 0.305496817668667
R24 0.257636896169668
R25 0.202307845556445
R26 0.154375399757437
R27 0.236518344278969
R29 0.218499987766986
R28 0.259830100904894
R4 0.179306283225741
R5 0.118630531507003
LugarCanto41 0.383714712122218
BERG02-2 0.292383026168166
